Room,Model,Machine ID,IP Address
Ackerson 102,RICOH IM C6000,C??,http://10.124.133.105/
Ackerson 109,RICOH IM C6000,C??,http://10.124.133.110/
Ackerson 201,RICOH MP 4055,C328R300967,http://10.124.134.77/
Ackerson 202,RICOH MP 4055,C328R301177,http://10.124.135.1/
Ackerson 207,RICOH MP C6503,C068C400167,http://10.124.135.184/
Ackerson 302,RICOH MP C6004ex,C758M321023,http://10.124.134.124/
Ackerson 305,RICOH MP C6503,C068C400166,http://10.124.134.146/
Ackerson 305,RICOH MP C6004ex,C758M321210,http://10.124.134.148/
Ackerson 343,RICOH MP C4504ex,C738M341271,http://10.124.135.6/
SSB-601,RICOH IM C3500,C91256001,http://10.20.70.79/
SSB-608,RICOH IM C6500,C91257971,http://10.20.70.80/
SSB-608,RICOH IM C3500,C91256031,http://10.20.70.81/
SSB-645,RICOH IM C6500,C91258113,http://10.20.70.77/
SSB-1027,RICOH IM C6000,C91256012,http://10.20.110.76/
SSB-1123,RICOH IM C3500,C91256004,http://10.20.120.90/
SSB-1124,RICOH IM C6000,C91255980,http://10.20.120.168/
SSB-1127,RICOH IM C6000,C91255535,http://10.20.120.87/
SSB-1126,RICOH IM C3500,C91256003,http://10.20.120.77/
SSB-1427,RICOH IM C6000,C91256010,http://10.20.150.97/
SSB-1139,RICOH IM C6500,C91258032,http://10.20.120.79/
SSB-1426,RICOH IM C6000,C91256009,http://10.20.150.98/
SSB-1145,RICOH IM C3500,C91255434,http://10.20.120.88/
SSB-801,RICOH IM C3500,C91256002,http://10.20.91.14/
SSB-810,RICOH IM C3500,C91255433,http://10.20.91.15/
SSB-640B,RICOH IM C4500,C91255555,http://10.20.70.74/
SSB-640A,RICOH IM C3500,C91256028,http://10.20.70.73/
SSB-620A,RICOH IM C3500,C91256025,http://10.20.70.76/
SSB-620B,?,C91256029,http://10.20.70.75/
SSB-GA60,RICOH IM C6000,C91256013,http://10.20.2.93/
SSB-GA50,RICOH IM C3500,C91256026,http://10.20.2.47/
SSB-230,RICOH IM C3500,C91255435,http://10.20.2.86/
SON-110-101EP01,,C91255552,http://10.124.136.70/
SON-110-209P01,,C91255546,http://10.124.136.71/
SON-110-321P01,,C91255551,http://10.124.136.72/
SON-120-406P01,,,http://10.170.17.70/
SON-110-201P01,,C91255549,http://10.124.136.74/
SON-110-203P01,,C91255548,http://10.124.136.75/
SON-120-StudLoungeP01,,C91255754,http://10.170.16.70/
SON-120-DeanSuiteP01,,C91256032,http://10.170.16.71/
